News Org,Compound,Positive,Negative,Neutral,Text,Created At,Tweets Ago
BBC,0.25,0.1,0.0,0.9,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",Mon Mar 12 13:30:45 +0000 2018,55
BBC,0.0,0.0,0.0,1.0,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",Mon Mar 12 13:27:27 +0000 2018,56
BBC,0.0,0.0,0.0,1.0,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,Mon Mar 12 12:59:05 +0000 2018,57
BBC,0.0,0.0,0.0,1.0,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ??? https://t.co/03fLgeKklj,Mon Mar 12 12:46:06 +0000 2018,58
BBC,-0.34,0.0,0.112,0.888,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",Mon Mar 12 12:40:39 +0000 2018,59
BBC,0.0,0.0,0.0,1.0,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,Mon Mar 12 12:19:24 +0000 2018,60
BBC,0.0,0.0,0.0,1.0,"? If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",Mon Mar 12 12:00:09 +0000 2018,61
BBC,-0.6542,0.066,0.225,0.709,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",Mon Mar 12 10:58:16 +0000 2018,62
BBC,0.7579,0.282,0.071,0.647,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",Mon Mar 12 10:55:19 +0000 2018,63
BBC,-0.5255,0.0,0.159,0.841,"RT @BBCNewsround: Have you been using emojis wrong this whole time? ?Yep, apparently there's an official definition now! https://t.co/Xiwan…",Mon Mar 12 10:52:55 +0000 2018,64
BBC,0.2433,0.185,0.119,0.696,"? Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
?… https://t.co/Yw0hzqKjyK",Mon Mar 12 09:58:30 +0000 2018,65
BBC,-0.1531,0.191,0.264,0.545,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,Mon Mar 12 09:00:06 +0000 2018,66
BBC,0.2732,0.18,0.133,0.687,"? Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",Mon Mar 12 08:30:04 +0000 2018,67
BBC,0.0516,0.186,0.174,0.64,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN,Mon Mar 12 08:00:05 +0000 2018,68
BBC,0.6068,0.237,0.0,0.763,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ",Sun Mar 11 21:39:32 +0000 2018,69
BBC,0.6908,0.322,0.0,0.678,"?? Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9",Sun Mar 11 21:22:19 +0000 2018,70
BBC,0.3612,0.152,0.0,0.848,"RT @BBCOne: Here's to the memories. ??
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya",Sun Mar 11 21:02:37 +0000 2018,71
BBC,0.861,0.43,0.0,0.57,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE",Sun Mar 11 20:00:07 +0000 2018,72
BBC,0.765,0.29,0.048,0.662,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…",Sun Mar 11 19:54:20 +0000 2018,73
BBC,0.296,0.137,0.097,0.767,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…,Sun Mar 11 19:52:28 +0000 2018,74
BBC,0.4939,0.132,0.0,0.868,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…,Sun Mar 11 19:51:36 +0000 2018,75
BBC,-0.7481,0.0,0.285,0.715,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…",Sun Mar 11 19:51:25 +0000 2018,76
BBC,0.0,0.0,0.0,1.0,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub,Sun Mar 11 19:51:12 +0000 2018,77
BBC,0.0,0.0,0.0,1.0,RT @BBCSpringwatch: Actual Mother's Day sibling selfie ??????  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…,Sun Mar 11 19:50:11 +0000 2018,78
BBC,0.0,0.0,0.0,1.0,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm ??? https://t.co/Z9w1GJZS45,Sun Mar 11 19:49:56 +0000 2018,79
BBC,-0.5994,0.0,0.163,0.837,"'That was the end of my childhood.'

?Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH",Sun Mar 11 19:00:03 +0000 2018,80
BBC,0.2263,0.353,0.213,0.435,?? These creations are helping to comfort children during their cancer treatment. https://t.co/qque7xnzNx,Sun Mar 11 18:00:15 +0000 2018,81
BBC,0.3818,0.206,0.0,0.794,? Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY,Sun Mar 11 17:02:03 +0000 2018,82
BBC,0.0,0.0,0.0,1.0,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator?
10 World C…",Sun Mar 11 16:55:19 +0000 2018,83
BBC,0.0,0.0,0.0,1.0,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",Sun Mar 11 16:00:04 +0000 2018,84
BBC,0.0,0.0,0.0,1.0,?? Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,Sun Mar 11 15:01:05 +0000 2018,85
BBC,0.0,0.0,0.0,1.0,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box ????

He'll be commentating on #Arsenal vs #Watfo…",Sun Mar 11 14:43:09 +0000 2018,86
BBC,-0.0772,0.257,0.284,0.459,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,Sun Mar 11 14:00:04 +0000 2018,87
BBC,-0.5267,0.0,0.145,0.855,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. ????

Captain America: The Winter S… https://t.co/yDWYJRUgGi",Sun Mar 11 12:33:04 +0000 2018,88
BBC,0.0,0.0,0.0,1.0,? Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,Sun Mar 11 12:00:03 +0000 2018,89
BBC,-0.2755,0.0,0.095,0.905,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details?
https://t…",Sun Mar 11 11:31:52 +0000 2018,90
BBC,0.1326,0.073,0.05,0.877,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum???

Two Mums ???????

A Grandmum ??

... they all want a lie-in!

#HappyMothers…",Sun Mar 11 11:10:49 +0000 2018,91
BBC,0.7717,0.355,0.0,0.645,"? Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
?… https://t.co/p7n5lo2ziD",Sun Mar 11 10:32:04 +0000 2018,92
BBC,-0.25,0.098,0.155,0.747,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",Sun Mar 11 10:24:05 +0000 2018,93
BBC,0.0,0.0,0.0,1.0,? Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,Sun Mar 11 10:05:01 +0000 2018,94
BBC,0.6808,0.211,0.0,0.789,"RT @BBC6Music: ? 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",Sun Mar 11 10:02:15 +0000 2018,95
BBC,0.0,0.0,0.0,1.0,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

?? https://t.co/MrnHDz2ZyL https://t.…",Sun Mar 11 09:38:23 +0000 2018,96
BBC,0.7847,0.257,0.0,0.743,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",Sun Mar 11 09:35:38 +0000 2018,97
BBC,0.5803,0.131,0.0,0.869,RT @TWBBC: Fry-up anyone?  ??? Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,Sun Mar 11 09:33:16 +0000 2018,98
BBC,0.0,0.0,0.0,1.0,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,Sun Mar 11 09:30:10 +0000 2018,99
CBSNews,0.0,0.0,0.0,1.0,"What did Omar Mateen's widow know before the Orlando nightclub shooting?
https://t.co/3ebt6jKm1B https://t.co/p7KVWpoh4c",Thu Mar 15 02:15:05 +0000 2018,0
CBSNews,-0.4588,0.069,0.155,0.776,"UPDATE: Both aviators on fighter jet that crashed near naval base in Key West, Florida have died, according to… https://t.co/fx4pzbEI7U",Thu Mar 15 02:13:28 +0000 2018,1
CBSNews,0.5267,0.145,0.0,0.855,"The field of ""masculinities studies"" has long had men's misdeeds as an area of focus, but it's gained newfound expo… https://t.co/JSDBRGlczQ",Thu Mar 15 01:55:01 +0000 2018,2
